id,name,firstName,lastName,party,state,district,chamber,title,url,inOffice,lastUpdated
G000590,"Green, Mark E.",Mark E.,Green,Republican,Tennessee,7,House of Representatives,Representative,https://api.congress.gov/v3/member/G000590?format=json,True,2025-07-29T19:11:01.486272
C000488,"Clay, William (Bill)",William (Bill),Clay,Democratic,Missouri,1,House of Representatives,Representative,https://api.congress.gov/v3/member/C000488?format=json,True,2025-07-29T19:11:01.486286
M001233,"Messmer, Mark B.",Mark B.,Messmer,Republican,Indiana,8,House of Representatives,Representative,https://api.congress.gov/v3/member/M001233?format=json,True,2025-07-29T19:11:01.486290
M000309,"McCarthy, Carolyn",Carolyn,McCarthy,Democratic,New York,4,House of Representatives,Representative,https://api.congress.gov/v3/member/M000309?format=json,True,2025-07-29T19:11:01.486294
W000520,"Williams, Pat",Pat,Williams,Democratic,Montana,,House of Representatives,Representative,https://api.congress.gov/v3/member/W000520?format=json,True,2025-07-29T19:11:01.486297
F000460,"Farenthold, Blake",Blake,Farenthold,Republican,Texas,27,House of Representatives,Representative,https://api.congress.gov/v3/member/F000460?format=json,True,2025-07-29T19:11:01.486300
N000019,"Nedzi, Lucien N.",Lucien N.,Nedzi,Democratic,Michigan,14,House of Representatives,Representative,https://api.congress.gov/v3/member/N000019?format=json,True,2025-07-29T19:11:01.486303
R000617,"Ramirez, Delia C.",Delia C.,Ramirez,Democratic,Illinois,3,House of Representatives,Representative,https://api.congress.gov/v3/member/R000617?format=json,True,2025-07-29T19:11:01.486306
S001232,"Sheehy, Tim",Tim,Sheehy,Republican,Montana,,Senate,Senator,https://api.congress.gov/v3/member/S001232?format=json,True,2025-07-29T19:11:01.486309
L000570,"Luján, Ben Ray",Ben Ray,Luján,Democratic,New Mexico,,Senate,Senator,https://api.congress.gov/v3/member/L000570?format=json,True,2025-07-29T19:11:01.486312
H001089,"Hawley, Josh",Josh,Hawley,Republican,Missouri,,Senate,Senator,https://api.congress.gov/v3/member/H001089?format=json,True,2025-07-29T19:11:01.486315
R000053,"Rangel, Charles B.",Charles B.,Rangel,Democratic,New York,13,House of Representatives,Representative,https://api.congress.gov/v3/member/R000053?format=json,True,2025-07-29T19:11:01.486318
W000800,"Welch, Peter",Peter,Welch,Democratic,Vermont,,Senate,Senator,https://api.congress.gov/v3/member/W000800?format=json,True,2025-07-29T19:11:01.486321
C001078,"Connolly, Gerald E.",Gerald E.,Connolly,Democratic,Virginia,11,House of Representatives,Representative,https://api.congress.gov/v3/member/C001078?format=json,True,2025-07-29T19:11:01.486323
M001242,"Moreno, Bernie",Bernie,Moreno,Republican,Ohio,,Senate,Senator,https://api.congress.gov/v3/member/M001242?format=json,True,2025-07-29T19:11:01.486326
B000611,"Bond, Christopher S.",Christopher S.,Bond,Republican,Missouri,,Senate,Senator,https://api.congress.gov/v3/member/B000611?format=json,True,2025-07-29T19:11:01.486329
M001229,"McIver, LaMonica",LaMonica,McIver,Democratic,New Jersey,10,House of Representatives,Representative,https://api.congress.gov/v3/member/M001229?format=json,True,2025-07-29T19:11:01.486352
H001085,"Houlahan, Chrissy",Chrissy,Houlahan,Democratic,Pennsylvania,6,House of Representatives,Representative,https://api.congress.gov/v3/member/H001085?format=json,True,2025-07-29T19:11:01.486355
M001244,"Moody, Ashley",Ashley,Moody,Republican,Florida,,Senate,Senator,https://api.congress.gov/v3/member/M001244?format=json,True,2025-07-29T19:11:01.486358
M000566,"McMillan, J. Alex",J. Alex,McMillan,Republican,North Carolina,9,House of Representatives,Representative,https://api.congress.gov/v3/member/M000566?format=json,True,2025-07-29T19:11:01.486361
S001101,"Sweeney, David McCann",David McCann,Sweeney,Republican,Texas,14,House of Representatives,Representative,https://api.congress.gov/v3/member/S001101?format=json,True,2025-07-29T19:11:01.486364
F000116,"Filner, Bob",Bob,Filner,Democratic,California,51,House of Representatives,Representative,https://api.congress.gov/v3/member/F000116?format=json,True,2025-07-29T19:11:01.486367
