id,name,firstName,lastName,party,state,district,chamber,title,url,inOffice,lastUpdated
G000590,"Green, Mark E.",Mark E.,Green,Republican,Tennessee,7,House of Representatives,Representative,https://api.congress.gov/v3/member/G000590?format=json,True,2025-07-30T04:06:25.436187
C000488,"Clay, William (Bill)",William (Bill),Clay,Democratic,Missouri,1,House of Representatives,Representative,https://api.congress.gov/v3/member/C000488?format=json,True,2025-07-30T04:06:25.436200
M001233,"Messmer, Mark B.",Mark B.,Messmer,Republican,Indiana,8,House of Representatives,Representative,https://api.congress.gov/v3/member/M001233?format=json,True,2025-07-30T04:06:25.436204
M000309,"McCarthy, Carolyn",Carolyn,McCarthy,Democratic,New York,4,House of Representatives,Representative,https://api.congress.gov/v3/member/M000309?format=json,True,2025-07-30T04:06:25.436207
W000520,"Williams, Pat",Pat,Williams,Democratic,Montana,,House of Representatives,Representative,https://api.congress.gov/v3/member/W000520?format=json,True,2025-07-30T04:06:25.436211
F000460,"Farenthold, Blake",Blake,Farenthold,Republican,Texas,27,House of Representatives,Representative,https://api.congress.gov/v3/member/F000460?format=json,True,2025-07-30T04:06:25.436214
N000019,"Nedzi, Lucien N.",Lucien N.,Nedzi,Democratic,Michigan,14,House of Representatives,Representative,https://api.congress.gov/v3/member/N000019?format=json,True,2025-07-30T04:06:25.436217
R000617,"Ramirez, Delia C.",Delia C.,Ramirez,Democratic,Illinois,3,House of Representatives,Representative,https://api.congress.gov/v3/member/R000617?format=json,True,2025-07-30T04:06:25.436220
S001232,"Sheehy, Tim",Tim,Sheehy,Republican,Montana,,Senate,Senator,https://api.congress.gov/v3/member/S001232?format=json,True,2025-07-30T04:06:25.436223
L000570,"Luján, Ben Ray",Ben Ray,Luján,Democratic,New Mexico,,Senate,Senator,https://api.congress.gov/v3/member/L000570?format=json,True,2025-07-30T04:06:25.436227
H001089,"Hawley, Josh",Josh,Hawley,Republican,Missouri,,Senate,Senator,https://api.congress.gov/v3/member/H001089?format=json,True,2025-07-30T04:06:25.436230
R000053,"Rangel, Charles B.",Charles B.,Rangel,Democratic,New York,13,House of Representatives,Representative,https://api.congress.gov/v3/member/R000053?format=json,True,2025-07-30T04:06:25.436233
W000800,"Welch, Peter",Peter,Welch,Democratic,Vermont,,Senate,Senator,https://api.congress.gov/v3/member/W000800?format=json,True,2025-07-30T04:06:25.436235
C001078,"Connolly, Gerald E.",Gerald E.,Connolly,Democratic,Virginia,11,House of Representatives,Representative,https://api.congress.gov/v3/member/C001078?format=json,True,2025-07-30T04:06:25.436238
M001242,"Moreno, Bernie",Bernie,Moreno,Republican,Ohio,,Senate,Senator,https://api.congress.gov/v3/member/M001242?format=json,True,2025-07-30T04:06:25.436241
B000611,"Bond, Christopher S.",Christopher S.,Bond,Republican,Missouri,,Senate,Senator,https://api.congress.gov/v3/member/B000611?format=json,True,2025-07-30T04:06:25.436244
M001229,"McIver, LaMonica",LaMonica,McIver,Democratic,New Jersey,10,House of Representatives,Representative,https://api.congress.gov/v3/member/M001229?format=json,True,2025-07-30T04:06:25.436246
H001085,"Houlahan, Chrissy",Chrissy,Houlahan,Democratic,Pennsylvania,6,House of Representatives,Representative,https://api.congress.gov/v3/member/H001085?format=json,True,2025-07-30T04:06:25.436249
M001244,"Moody, Ashley",Ashley,Moody,Republican,Florida,,Senate,Senator,https://api.congress.gov/v3/member/M001244?format=json,True,2025-07-30T04:06:25.436252
M000566,"McMillan, J. Alex",J. Alex,McMillan,Republican,North Carolina,9,House of Representatives,Representative,https://api.congress.gov/v3/member/M000566?format=json,True,2025-07-30T04:06:25.436255
S001101,"Sweeney, David McCann",David McCann,Sweeney,Republican,Texas,14,House of Representatives,Representative,https://api.congress.gov/v3/member/S001101?format=json,True,2025-07-30T04:06:25.436257
F000116,"Filner, Bob",Bob,Filner,Democratic,California,51,House of Representatives,Representative,https://api.congress.gov/v3/member/F000116?format=json,True,2025-07-30T04:06:25.436260
M001226,"Menendez, Robert",Robert,Menendez,Democratic,New Jersey,8,House of Representatives,Representative,https://api.congress.gov/v3/member/M001226?format=json,True,2025-07-30T04:06:25.436263
F000477,"Foushee, Valerie P.",Valerie P.,Foushee,Democratic,North Carolina,4,House of Representatives,Representative,https://api.congress.gov/v3/member/F000477?format=json,True,2025-07-30T04:06:25.436265
T000488,"Thanedar, Shri",Shri,Thanedar,Democratic,Michigan,13,House of Representatives,Representative,https://api.congress.gov/v3/member/T000488?format=json,True,2025-07-30T04:06:25.436268
P000622,"Patronis, Jimmy",Jimmy,Patronis,Republican,Florida,1,House of Representatives,Representative,https://api.congress.gov/v3/member/P000622?format=json,True,2025-07-30T04:06:25.436271
F000484,"Fine, Randy",Randy,Fine,Republican,Florida,6,House of Representatives,Representative,https://api.congress.gov/v3/member/F000484?format=json,True,2025-07-30T04:06:25.436273
S001221,"Scholten, Hillary J.",Hillary J.,Scholten,Democratic,Michigan,3,House of Representatives,Representative,https://api.congress.gov/v3/member/S001221?format=json,True,2025-07-30T04:06:25.436276
J000299,"Johnson, Mike",Mike,Johnson,Republican,Louisiana,4,House of Representatives,Representative,https://api.congress.gov/v3/member/J000299?format=json,True,2025-07-30T04:06:25.436278
R000621,"Randall, Emily",Emily,Randall,Democratic,Washington,6,House of Representatives,Representative,https://api.congress.gov/v3/member/R000621?format=json,True,2025-07-30T04:06:25.436281
M001235,"Moore, Riley M.",Riley M.,Moore,Republican,West Virginia,2,House of Representatives,Representative,https://api.congress.gov/v3/member/M001235?format=json,True,2025-07-30T04:06:25.436284
B001322,"Baumgartner, Michael",Michael,Baumgartner,Republican,Washington,5,House of Representatives,Representative,https://api.congress.gov/v3/member/B001322?format=json,True,2025-07-30T04:06:25.436286
W000829,"Wied, Tony",Tony,Wied,Republican,Wisconsin,8,House of Representatives,Representative,https://api.congress.gov/v3/member/W000829?format=json,True,2025-07-30T04:06:25.436289
V000135,"Van Orden, Derrick",Derrick,Van Orden,Republican,Wisconsin,3,House of Representatives,Representative,https://api.congress.gov/v3/member/V000135?format=json,True,2025-07-30T04:06:25.436292
G000600,"Perez, Marie Gluesenkamp",Marie Gluesenkamp,Perez,Democratic,Washington,3,House of Representatives,Representative,https://api.congress.gov/v3/member/G000600?format=json,True,2025-07-30T04:06:25.436294
H001096,"Hageman, Harriet M.",Harriet M.,Hageman,Republican,Wyoming,,House of Representatives,Representative,https://api.congress.gov/v3/member/H001096?format=json,True,2025-07-30T04:06:25.436297
B001318,"Balint, Becca",Becca,Balint,Democratic,Vermont,,House of Representatives,Representative,https://api.congress.gov/v3/member/B001318?format=json,True,2025-07-30T04:06:25.436300
S001159,"Strickland, Marilyn",Marilyn,Strickland,Democratic,Washington,10,House of Representatives,Representative,https://api.congress.gov/v3/member/S001159?format=json,True,2025-07-30T04:06:25.436302
F000471,"Fitzgerald, Scott",Scott,Fitzgerald,Republican,Wisconsin,5,House of Representatives,Representative,https://api.congress.gov/v3/member/F000471?format=json,True,2025-07-30T04:06:25.436305
T000165,"Tiffany, Thomas P.",Thomas P.,Tiffany,Republican,Wisconsin,7,House of Representatives,Representative,https://api.congress.gov/v3/member/T000165?format=json,True,2025-07-30T04:06:25.436308
M001205,"Miller, Carol D.",Carol D.,Miller,Republican,West Virginia,1,House of Representatives,Representative,https://api.congress.gov/v3/member/M001205?format=json,True,2025-07-30T04:06:25.436311
S001213,"Steil, Bryan",Bryan,Steil,Republican,Wisconsin,1,House of Representatives,Representative,https://api.congress.gov/v3/member/S001213?format=json,True,2025-07-30T04:06:25.436314
S001216,"Schrier, Kim",Kim,Schrier,Democratic,Washington,8,House of Representatives,Representative,https://api.congress.gov/v3/member/S001216?format=json,True,2025-07-30T04:06:25.436317
J000298,"Jayapal, Pramila",Pramila,Jayapal,Democratic,Washington,7,House of Representatives,Representative,https://api.congress.gov/v3/member/J000298?format=json,True,2025-07-30T04:06:25.436319
G000576,"Grothman, Glenn",Glenn,Grothman,Republican,Wisconsin,6,House of Representatives,Representative,https://api.congress.gov/v3/member/G000576?format=json,True,2025-07-30T04:06:25.436322
